"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","coach","rod_first_sv_pctg","rod_first_sv_won_pctg","rod_sv_gms_won_pctg","rod_aces","rod_dfs","rod_bpfaced"
"211","2003-560","US Open","Hard",128,"G",20030825,127,104053,4,"","Andy Roddick","R",188,"USA",20.98562628,4,3415,103507,3,"","Juan Carlos Ferrero","R",183,"ESP",23.53182752,3,3625,"6-3 7-6(2) 6-3",5,"F",101,23,2,87,55,49,19,16,3,3,7,1,90,57,42,15,14,3,5,"Brad Gilbert",0.63,0.89,1,23,2,3
"237","2004-424","San Jose","Hard",32,"A",20040209,31,104053,1,"","Andy Roddick","R",188,"USA",21.44558522,3,4335,103888,3,"","Mardy Fish","R",188,"USA",22.16837782,21,1225,"7-6(13) 6-4",3,"F",96,16,1,69,49,42,15,11,0,0,17,2,80,46,37,19,11,4,5,"Brad Gilbert",0.71,0.86,1,16,1,0
"254","2004-403","Miami Masters","Hard",96,"M",20040322,95,104053,2,"","Andy Roddick","R",188,"USA",21.56057495,3,4335,103909,3,"","Guillermo Coria","R",175,"ARG",22.18754278,4,3290,"6-7(2) 6-3 6-1 RET",3,"F",122,12,2,74,45,39,17,14,1,2,4,1,107,81,43,15,14,7,12,"Brad Gilbert",0.61,0.87,0.93,12,2,2
"259","2004-717","Houston","Clay",32,"A",20040412,31,103163,0,"","Tommy Haas","R",188,"GER",26.02600958,349,90,104053,1,"","Andy Roddick","R",188,"USA",21.61806982,2,4800,"6-3 6-4",3,"F",71,3,3,56,35,28,14,10,3,3,6,1,53,35,21,12,9,2,4,"Brad Gilbert",0.66,0.6,0.78,6,1,4
"267","2004-311","Queen's Club","Grass",56,"A",20040607,55,104053,1,"","Andy Roddick","R",188,"USA",21.77138946,2,4695,103206,5,"","Sebastien Grosjean","R",175,"FRA",26.02600958,13,1665,"7-6(4) 6-4",3,"F",83,11,3,63,33,29,17,11,2,3,4,2,71,44,34,13,11,3,5,"Brad Gilbert",0.52,0.88,0.91,11,3,3
"274","2004-540","Wimbledon","Grass",128,"G",20040621,127,103819,1,"","Roger Federer","R",185,"SUI",22.86926762,1,5610,104053,2,"","Andy Roddick","R",188,"USA",21.80971937,2,4695,"4-6 7-5 7-6(3) 6-4",5,"F",151,12,3,154,95,64,34,22,10,14,11,5,133,81,60,21,22,5,10,"Brad Gilbert",0.61,0.74,0.77,11,5,10
"279","2004-419","Indianapolis","Hard",48,"A",20040719,47,104053,1,"","Andy Roddick","R",188,"USA",21.88637919,2,4945,103017,12,"","Nicolas Kiefer","R",183,"GER",27.03901437,30,1010,"6-2 6-3",3,"F",59,10,2,48,25,23,14,9,0,0,2,3,49,24,17,13,8,4,7,"Brad Gilbert",0.52,0.92,1,10,2,0
"285","2004-421","Canada Masters","Hard",64,"M",20040726,63,103819,1,"","Roger Federer","R",185,"SUI",22.9650924,1,5665,104053,2,"","Andy Roddick","R",188,"USA",21.90554415,2,4945,"7-5 6-3",3,"F",85,13,1,65,38,28,19,11,4,4,4,2,72,49,33,11,10,7,9,"Brad Gilbert",0.68,0.67,0.8,4,2,9
"300","2004-1720","Bangkok","Hard",32,"A",20040927,31,103819,1,"","Roger Federer","R",185,"SUI",23.137577,1,6760,104053,2,"","Andy Roddick","R",188,"USA",22.07802875,2,3770,"6-4 6-0",3,"F",57,11,2,52,32,23,13,8,2,2,8,2,57,40,23,6,8,4,8,"Brad Gilbert",0.7,0.57,0.5,8,2,8
"319","2005-424","San Jose","Hard",32,"A",20050207,31,104053,1,"","Andy Roddick","R",188,"USA",22.4421629,3,3855,102642,0,"","Cyril Saulnier","R",190,"FRA",29.48117728,55,699,"6-0 6-4",3,"F",50,9,1,46,33,25,9,8,0,0,6,2,43,25,18,6,8,3,7,"Dean Goldfine",0.72,0.76,1,9,1,0
"334","2005-717","Houston","Clay",32,"A",20050418,31,104053,1,"","Andy Roddick","R",188,"USA",22.63381246,4,3340,103206,6,"","Sebastien Grosjean","R",175,"FRA",26.88843258,30,1045,"6-2 6-2",3,"F",71,4,0,44,28,20,13,8,0,0,3,3,62,33,19,12,8,6,10,"Dean Goldfine",0.64,0.71,1,4,0,0
"345","2005-311","Queen's Club","Grass",56,"A",20050606,55,104053,2,"","Andy Roddick","R",188,"USA",22.76796715,4,3590,103333,0,"","Ivo Karlovic","R",208,"CRO",26.2696783,77,520,"7-6(7) 7-6(4)",3,"F",81,10,1,74,58,50,10,12,0,0,16,3,81,52,41,17,12,3,3,"Dean Goldfine",0.78,0.86,1,10,1,0
"352","2005-540","Wimbledon","Grass",128,"G",20050620,127,103819,1,"","Roger Federer","R",185,"SUI",23.86584531,1,6980,104053,2,"","Andy Roddick","R",188,"USA",22.80629706,4,3590,"6-2 7-6(2) 6-4",5,"F",101,12,0,79,49,40,22,15,1,2,7,1,96,68,46,11,15,5,9,"Dean Goldfine",0.71,0.68,0.73,7,1,9
"360","2005-418","Washington","Hard",48,"A",20050801,47,104053,1,"","Andy Roddick","R",188,"USA",22.92128679,5,3200,103484,0,"","James Blake","R",185,"USA",25.59342916,101,405,"7-5 6-3",3,"F",79,18,0,70,48,35,11,11,3,4,6,0,58,35,26,11,10,3,6,"Dean Goldfine",0.69,0.73,0.91,18,0,4
"367","2005-422","Cincinnati Masters","Hard",64,"M",20050815,63,103819,1,"","Roger Federer","R",185,"SUI",24.01916496,1,6500,104053,5,"","Andy Roddick","R",188,"USA",22.9596167,5,3130,"6-3 7-5",3,"F",75,5,1,50,32,28,10,10,1,2,11,1,59,33,24,12,11,2,6,"Dean Goldfine",0.56,0.73,0.64,11,1,6
"375","2005-375","Lyon","Carpet",32,"A",20051024,31,104053,1,"","Andy Roddick","R",188,"USA",23.15126626,3,3120,104792,0,"","Gael Monfils","R",193,"FRA",19.14579055,36,889,"6-3 6-2",3,"F",60,9,0,47,35,31,7,9,2,2,6,2,55,35,22,9,8,1,4,"Dean Goldfine",0.74,0.89,1,9,0,2
"422","2006-419","Indianapolis","Hard",48,"A",20060717,47,103484,1,"","James Blake","R",185,"USA",26.55167693,6,2155,104053,2,"","Andy Roddick","R",188,"USA",23.87953457,11,1805,"4-6 6-4 7-6(5)",3,"F",123,15,9,126,71,57,23,16,10,12,18,3,93,69,51,16,16,4,6,"John Roddick",0.74,0.74,0.88,18,3,6
"430","2006-422","Cincinnati Masters","Hard",64,"M",20060814,63,104053,9,"","Andy Roddick","R",188,"USA",23.95619439,12,1740,103507,0,"","Juan Carlos Ferrero","R",183,"ESP",26.50239562,31,1015,"6-3 6-4",3,"F",70,17,2,55,38,28,9,10,2,4,9,2,54,36,24,5,9,3,7,"Jimmy Connors",0.69,0.74,0.8,17,2,4
"437","2006-560","US Open","Hard",128,"G",20060828,127,103819,1,"","Roger Federer","R",185,"SUI",25.05407255,1,7295,104053,9,"","Andy Roddick","R",188,"USA",23.9945243,10,1890,"6-2 4-6 7-5 6-1",5,"F",145,17,0,103,63,53,20,19,6,8,7,1,122,80,53,16,18,10,16,"Jimmy Connors",0.66,0.66,0.67,7,1,16
"465","2007-402","Memphis","Hard",32,"A",20070219,31,103163,2,"","Tommy Haas","R",188,"GER",28.88158795,9,2020,104053,1,"","Andy Roddick","R",188,"USA",24.47364819,4,2715,"6-3 6-2",3,"F",62,8,2,43,25,24,12,9,0,0,7,2,53,27,20,10,8,5,8,"Jimmy Connors",0.51,0.74,0.62,7,2,8
"486","2007-311","Queen's Club","Grass",56,"A",20070611,55,104053,2,"","Andy Roddick","R",188,"USA",24.78028747,5,2930,103917,0,"","Nicolas Mahut","R",190,"FRA",25.3853525,106,390,"4-6 7-6(7) 7-6(2)",3,"F",137,24,1,97,64,57,23,17,0,1,21,4,110,66,58,24,17,1,1,"Jimmy Connors",0.66,0.89,0.94,24,1,1
"500","2007-418","Washington","Hard",48,"A",20070729,47,104053,1,"","Andy Roddick","R",188,"USA",24.91444216,5,3165,104545,0,"WC","John Isner","R",206,"USA",22.2587269,416,73,"6-4 7-6(4)",3,"F",81,14,1,61,38,34,17,11,1,1,12,2,64,44,35,11,11,2,3,"Jimmy Connors",0.62,0.89,1,14,1,1
"527","2008-424","San Jose","Hard",32,"A",20080218,31,104053,1,"","Andy Roddick","R",188,"USA",25.47022587,6,2120,103285,4,"","Radek Stepanek","R",185,"CZE",29.22655715,34,915,"6-4 7-5",3,"F",80,13,2,58,40,33,12,11,0,0,7,3,70,46,35,9,11,3,5,"Jimmy Connors",0.69,0.82,1,13,2,0
"535","2008-495","Dubai","Hard",32,"A",20080303,31,104053,6,"","Andy Roddick","R",188,"USA",25.50855578,6,2140,103852,0,"","Feliciano Lopez","L",188,"ESP",26.45037645,41,785,"6-7(8) 6-4 6-2",3,"F",115,22,1,84,55,48,19,15,0,0,24,2,95,62,45,18,15,4,7,"John Roddick",0.65,0.87,1,22,1,0
"558","2008-423","Los Angeles","Hard",28,"A",20080804,27,105223,3,"","Juan Martin Del Potro","R",198,"ARG",19.86310746,24,1090,104053,1,"","Andy Roddick","R",188,"USA",25.9301848,9,1865,"6-1 7-6(2)",3,"F",89,1,1,58,43,36,8,9,0,0,4,2,64,40,28,10,10,1,4,"John Roddick",0.62,0.7,0.7,4,2,4
"572","2008-747","Beijing","Hard",28,"A",20080922,27,104053,2,"","Andy Roddick","R",188,"USA",26.06433949,8,1845,104534,0,"","Dudi Sela","R",175,"ISR",23.46885695,92,514,"6-4 6-7(6) 6-3",3,"F",121,17,2,109,73,56,20,16,9,10,2,1,91,58,43,20,15,7,10,"John Roddick",0.67,0.77,0.94,17,2,10
"590","2009-451","Doha","Hard",32,"A",20090105,31,104918,3,"","Andy Murray","R",190,"GBR",21.64544832,4,7050,104053,4,"","Andy Roddick","R",188,"USA",26.35181383,8,3940,"6-4 6-2",3,"F",71,5,1,50,35,28,9,9,1,1,3,0,46,32,21,6,9,0,3,"Larry Stefanki",0.7,0.66,0.67,3,0,3
"605","2009-402","Memphis","Hard",32,"A",20090216,31,104053,1,"","Andy Roddick","R",188,"USA",26.46680356,6,4510,103285,5,"","Radek Stepanek","R",185,"CZE",30.22313484,19,2640,"7-5 7-5",3,"F",104,8,1,78,53,37,13,12,3,4,7,3,67,38,28,15,12,1,4,"Larry Stefanki",0.68,0.7,0.92,8,1,4
"633","2009-540","Wimbledon","Grass",128,"G",20090622,127,103819,2,"","Roger Federer","R",185,"SUI",27.87132101,2,10620,104053,6,"","Andy Roddick","R",188,"USA",26.81177276,6,4310,"5-7 7-6(6) 7-6(5) 3-6 16-14",5,"F",256,50,4,197,127,113,42,37,3,5,27,4,239,169,140,31,38,6,7,"Larry Stefanki",0.71,0.83,0.97,27,4,7
"638","2009-418","Washington","Hard",48,"A",20090802,47,105223,2,"","Juan Martin Del Potro","R",198,"ARG",20.85968515,6,5005,104053,1,"","Andy Roddick","R",188,"USA",26.92676249,5,5470,"3-6 7-5 7-6(6)",3,"F",150,19,6,95,52,40,24,16,0,3,21,4,103,70,51,16,17,2,5,"Larry Stefanki",0.68,0.73,0.82,21,4,5
"653","2010-339","Brisbane","Hard",32,"A",20100103,31,104053,1,"","Andy Roddick","R",188,"USA",27.34839151,7,4410,103285,2,"","Radek Stepanek","R",185,"CZE",31.10472279,12,2625,"7-6(2) 7-6(7)",3,"F",125,7,1,83,64,45,13,12,3,5,5,8,95,56,38,21,12,6,8,"Larry Stefanki",0.77,0.7,0.83,7,1,5
"663","2010-424","San Jose","Hard",32,"A",20100208,31,104269,2,"","Fernando Verdasco","L",188,"ESP",26.23408624,11,2760,104053,1,"","Andy Roddick","R",188,"USA",27.44421629,7,4150,"3-6 6-4 6-4",3,"F",131,15,7,98,60,46,18,15,8,10,10,2,92,64,53,8,14,9,11,"Larry Stefanki",0.7,0.83,0.86,10,2,11
"672","2010-404","Indian Wells Masters","Hard",96,"M",20100311,95,103344,20,"","Ivan Ljubicic","R",193,"CRO",30.9705681,26,1520,104053,7,"","Andy Roddick","R",188,"USA",27.52087611,8,3720,"7-6(3) 7-6(5)",3,"F",127,21,2,96,54,47,21,12,6,6,12,0,72,52,43,13,12,3,3,"Larry Stefanki",0.72,0.83,1,12,0,3
"678","2010-403","Miami Masters","Hard",96,"M",20100324,95,104053,6,"","Andy Roddick","R",188,"USA",27.55920602,8,3960,104607,16,"","Tomas Berdych","R",196,"CZE",24.50924025,20,1760,"7-5 6-4",3,"F",103,13,2,60,37,29,16,11,0,0,7,3,69,34,25,20,11,3,5,"Larry Stefanki",0.62,0.78,1,13,2,0
"719","2011-339","Brisbane","Hard",32,"A",20110102,31,104417,1,"","Robin Soderling","R",193,"SWE",26.38740589,5,5580,104053,2,"","Andy Roddick","R",188,"USA",28.3449692,8,3665,"6-3 7-5",3,"F",95,16,2,54,39,35,9,11,0,0,12,1,67,44,33,9,10,8,10,"Larry Stefanki",0.66,0.75,0.8,12,1,10
"728","2011-402","Memphis","Hard",32,"A",20110214,31,104053,1,"","Andy Roddick","R",188,"USA",28.45995893,8,3325,105683,0,"WC","Milos Raonic","R",196,"CAN",20.13415469,59,837,"7-6(7) 6-7(11) 7-5",3,"F",157,20,4,113,67,54,31,18,6,8,32,3,123,74,61,26,18,7,10,"Larry Stefanki",0.59,0.81,0.89,20,4,8
"787","2012-741","Eastbourne","Grass",28,"A",20120618,27,104053,6,"","Andy Roddick","R",188,"USA",29.80150582,33,1190,104312,3,"","Andreas Seppi","R",190,"ITA",28.32306639,26,1285,"6-3 6-2",3,"F",72,5,2,51,38,26,6,9,1,3,1,1,58,47,22,4,8,6,11,"Larry Stefanki",0.75,0.68,0.78,5,2,3
"794","2012-6116","Atlanta","Hard",28,"A",20120716,27,104053,4,"","Andy Roddick","R",188,"USA",29.87816564,27,1395,104180,0,"","Gilles Muller","L",193,"LUX",29.18822724,63,746,"1-6 7-6(2) 6-2",3,"F",134,18,4,86,52,39,19,13,1,3,20,10,84,48,42,15,14,4,6,"Larry Stefanki",0.6,0.75,0.85,18,4,3
